full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,126995,126995,20815,34,34,4,https://github.com/anthropics/claude-code
claude-code-best/claude-code,19048,19048,15991,9,9,4,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2171,2171,5892,1,1,0,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3347,3347,4653,1,1,2,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,63056,63056,10303,19,19,2,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2732,2732,3380,1,1,0,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9278,9278,14656,1,1,1,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1764,1764,2558,0,0,1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1419,1419,2388,1,1,0,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,85,85,7260,1,1,1,https://github.com/RishabhK103/claude-code
Alishahryar1/free-claude-code,30298,30298,4579,52,52,6,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,44962,44962,3880,12,12,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,55177,55177,5548,24,24,2,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34440,34440,2811,1,1,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27613,27613,2849,2,2,3,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,867,867,1197,2,2,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,181,181,2273,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,20198,20198,2935,12,12,1,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3160,3160,3809,0,0,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20678,20678,2413,19,19,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2253,2253,3508,0,0,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7759,7759,1868,6,6,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10557,10557,1850,5,5,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2778,2778,1710,0,0,1,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,314,314,608,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9668,9668,1223,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9218,9218,702,2,2,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8506,8506,641,4,4,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1167,1167,2392,2,2,2,https://github.com/pedrohcgs/claude-code-my-workflow
