full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,114718,114718,19155,118,118,16,https://github.com/anthropics/claude-code
claude-code-best/claude-code,16040,16040,15114,49,49,17,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,158208,158208,24600,334,334,59,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2017,2017,5719,1,1,2,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,54028,54028,8888,106,106,22,https://github.com/shareAI-lab/learn-claude-code
yasasbanukaofficial/claude-code,2583,2583,4018,18,18,12,https://github.com/yasasbanukaofficial/claude-code
ChinaSiro/claude-code-sourcemap,8888,8888,14488,8,8,4,https://github.com/ChinaSiro/claude-code-sourcemap
codeaashu/claude-code,2111,2111,2974,4,4,3,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1461,1461,2343,7,7,2,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1188,1188,2159,2,2,5,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,39060,39060,3209,43,43,5,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,58,58,7322,1,1,-2,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,45377,45377,4380,169,169,19,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32367,32367,2565,26,26,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24638,24638,2432,8,8,-1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,747,747,1104,0,0,1,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,177,177,2265,0,0,2,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2980,2980,3729,4,4,1,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,17457,17457,1993,23,23,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2159,2159,3473,0,0,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7101,7101,1710,2,2,2,https://github.com/anthropics/claude-code-action
Donchitos/Claude-Code-Game-Studios,11172,11172,1647,239,239,22,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,9010,9010,1621,10,10,1,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9465,9465,1206,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8687,8687,651,5,5,0,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,288,288,585,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
liuup/claude-code-analysis,1682,1682,1309,18,18,8,https://github.com/liuup/claude-code-analysis
hangsman/claude-code-source,755,755,1735,1,1,2,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2127,2127,2158,10,10,3,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7735,7735,570,4,4,1,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,923,923,1885,0,0,8,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5799,5799,528,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3782,3782,553,1,1,-1,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,552,552,1283,0,0,1,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2763,2763,639,15,15,1,https://github.com/lintsinghua/claude-code-book
anthropics/skills,118690,118690,13713,275,275,44,https://github.com/anthropics/skills
qwibitai/nanoclaw,27376,27376,12100,20,20,36,https://github.com/qwibitai/nanoclaw
alex000kim/claude-code,214,214,322,1,1,0,https://github.com/alex000kim/claude-code
1rgs/claude-code-proxy,3444,3444,454,2,2,0,https://github.com/1rgs/claude-code-proxy
777genius/claude-code-source-code,897,897,1122,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3523,3523,596,3,3,0,https://github.com/disler/claude-code-hooks-mastery
xorespesp/claude-code,215,215,298,1,1,0,https://github.com/xorespesp/claude-code
zebbern/claude-code-guide,3939,3939,374,3,3,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,272,272,267,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
lorryjovens-hub/claude-code-rust,1350,1350,557,6,6,0,https://github.com/lorryjovens-hub/claude-code-rust
Maciek-roboblog/Claude-Code-Usage-Monitor,7586,7586,378,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2348,2348,403,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5280,5280,199,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,192,192,284,0,0,0,https://github.com/zstmfhy/Claude-code
sickn33/antigravity-awesome-skills,33403,33403,5540,65,65,5,https://github.com/sickn33/antigravity-awesome-skills
FlorianBruniaux/claude-code-ultimate-guide,3524,3524,485,15,15,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2433,2433,344,4,4,2,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2441,2441,339,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4281,4281,381,5,5,0,https://github.com/anthropics/claude-code-security-review
freestylefly/claude-code,121,121,287,0,0,1,https://github.com/freestylefly/claude-code
Windy3f3f3f3f/how-claude-code-works,1889,1889,511,8,8,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
wanshuiyin/Auto-claude-code-research-in-sleep,6817,6817,635,39,39,2,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Alishahryar1/free-claude-code,1911,1911,352,5,5,2,https://github.com/Alishahryar1/free-claude-code
chiragjoshi12/claude-code,187,187,225,0,0,0,https://github.com/chiragjoshi12/claude-code
Cranot/claude-code-guide,2610,2610,289,0,0,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,163,163,218,-1,-1,0,https://github.com/mehmoodosman/claude-code
ding113/claude-code-hub,2475,2475,280,10,10,1,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,206,206,207,0,0,0,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,371,371,614,0,0,-1,https://github.com/AprilNEA/claude-code-source
alejandrobalderas/claude-code-from-source,1563,1563,475,23,23,8,https://github.com/alejandrobalderas/claude-code-from-source
anthropics/claude-code-base-action,796,796,600,0,0,0,https://github.com/anthropics/claude-code-base-action
isboyjc/claude-code,149,149,207,1,1,2,https://github.com/isboyjc/claude-code
anthropics/claude-plugins-official,17090,17090,1995,25,25,6,https://github.com/anthropics/claude-plugins-official
repowise-dev/claude-code-prompts,941,941,359,3,3,0,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,1166,1166,471,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
guanshan/ClaudeCode,56,56,215,1,1,1,https://github.com/guanshan/ClaudeCode
https-deeplearning-ai/sc-claude-code-files,485,485,670,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
Yeachan-Heo/oh-my-claudecode,29321,29321,2712,84,84,3,https://github.com/Yeachan-Heo/oh-my-claudecode
obra/superpowers,155607,155607,13507,620,620,51,https://github.com/obra/superpowers
Pimzino/claude-code-spec-workflow,3659,3659,258,3,3,-1,https://github.com/Pimzino/claude-code-spec-workflow
JrCx7scC/claude-code-source,343,343,516,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1399,1399,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,26528,26528,4405,104,104,11,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,17019,17019,1692,24,24,4,https://github.com/snarktank/ralph
bfly123/claude_code_bridge,2258,2258,212,10,10,0,https://github.com/bfly123/claude_code_bridge
rohitg00/awesome-claude-code-toolkit,1291,1291,383,3,3,0,https://github.com/rohitg00/awesome-claude-code-toolkit
garrytan/gstack,73706,73706,10420,213,213,29,https://github.com/garrytan/gstack
lowcortisolprogrammer/claude-code,171,171,159,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
carlvellotti/claude-code-pm-course,1867,1867,292,4,4,0,https://github.com/carlvellotti/claude-code-pm-course
wshobson/agents,33708,33708,3659,16,16,1,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,972,972,558,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
eyaltoledano/claude-task-master,26568,26568,2483,6,6,2,https://github.com/eyaltoledano/claude-task-master
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3321,3321,639,13,13,4,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,482,482,387,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
alirezarezvani/claude-skills,11341,11341,1464,38,38,6,https://github.com/alirezarezvani/claude-skills
andrew-kramer-inno/claude-code-source-build,570,570,507,2,2,0,https://github.com/andrew-kramer-inno/claude-code-source-build
feiskyer/claude-code-settings,1445,1445,215,3,3,0,https://github.com/feiskyer/claude-code-settings
luongnv89/claude-howto,26974,26974,3279,128,128,19,https://github.com/luongnv89/claude-howto
sugyan/claude-code-webui,1024,1024,236,3,3,0,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,206,206,454,0,0,-1,https://github.com/Hyper66666/claude-code-sourcemap
slopus/happy,18496,18496,1499,46,46,2,https://github.com/slopus/happy
Windy3f3f3f3f/claude-code-from-scratch,930,930,321,3,3,2,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
darcyegb/ClaudeCodeAgents,662,662,59,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
siteboon/claudecodeui,9894,9894,1317,12,12,0,https://github.com/siteboon/claudecodeui
centminmod/my-claude-code-setup,2205,2205,216,2205,2205,216,https://github.com/centminmod/my-claude-code-setup
